Number	StepOneRunFileName	LongName	PCRSampleName	sampleType	sampleType2	Instrument	Target Name	Ct	Tm1	Tm2	Tm3	VolumeSampled_ml	LysisVolume_ul	PurificationVolume_ul	ElutionVolume_ul	qPCRDilution	qPCRTemplate_ul	UnivStd_cpRXN	UniivStd_cpSeawater	UnivStd_AveCPSW	UnivStd_SDcpSW	LODLOQ_cpRXN	LODLOQ_cpMLSW	LatitudeStart	LongitudeStart
1	20211221_Surveyor2021_SF_positivecontrols_17feb2021_16S-background.eds	NTC	17feb_positivecontrols_NTC	ntc		bench	16S	28.24553299	88.07479095			1	1	1	1	1	2	3.60E+01	1.80E+01	1.90E+01	2.60E+00	 	 		
2	20211221_Surveyor2021_SF_positivecontrols_17feb2021_16S-background.eds	NTC	17feb_positivecontrols_NTC	ntc		bench	16S	28.01600075	87.62680054			1	1	1	1	1	2	4.30E+01	2.10E+01	1.90E+01	2.60E+00	 	 		
3	20211221_Surveyor2021_SF_positivecontrols_17feb2021_16S-background.eds	NTC	17feb_positivecontrols_NTC	ntc		bench	16S	28.42019463	87.92364502	74.48575592		1	1	1	1	1	2	3.20E+01	1.60E+01	1.90E+01	2.60E+00	 	 		
67	20211109_Surveyor2021_SFtoHI_Transit_SC56-SC49_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC56-SC49_NTC	ntc		bench	16S	29.58181381	87.92398071			1	1	1	1	1	2	1.50E+01	7.40E+00	9.90E+00	4.00E+00	 	 		
68	20211109_Surveyor2021_SFtoHI_Transit_SC56-SC49_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC56-SC49_NTC	ntc		bench	16S	28.59001732	87.62533569			1	1	1	1	1	2	2.90E+01	1.40E+01	9.90E+00	4.00E+00	 	 		
69	20211109_Surveyor2021_SFtoHI_Transit_SC56-SC49_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC56-SC49_NTC	ntc		bench	16S	29.50411034	87.47699738			1	1	1	1	1	2	1.60E+01	7.80E+00	9.90E+00	4.00E+00	 	 		
142	20211111_Surveyor2021_SFtoHI_Transit_SC48-SC40_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC49-SC40_NTC	ntc		bench	16S	29.44287872	87.47940826			1	1	1	1	1	2	1.60E+01	8.10E+00	1.00E+01	2.60E+00	 	 		
143	20211111_Surveyor2021_SFtoHI_Transit_SC48-SC40_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC49-SC40_NTC	ntc		bench	16S	28.74085617	87.62872314			1	1	1	1	1	2	2.60E+01	1.30E+01	1.00E+01	2.60E+00	 	 		
144	20211111_Surveyor2021_SFtoHI_Transit_SC48-SC40_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC49-SC40_NTC	ntc		bench	16S	29.30024147	87.62731934			1	1	1	1	1	2	1.80E+01	9.00E+00	1.00E+01	2.60E+00	 	 		
196	20220124_Surveyor2021_SFtoHI_Transit_SC39-SC32_16S-background.eds	NTC	Surveyor2021_SFtoHI_SC39-32_NTC	ntc		bench	16S	29.72591209	87.77590942			1	1	1	1	1	2	1.30E+01	6.70E+00	1.80E+01	9.80E+00	 	 		
